
Available Providers (1355)
-------------------------------------------------------------------
{F1C521CA-DA82-4D79-9EE4-D7A375723B68}	FDPHost Service Trace
{2B240425-3141-43EE-931F-EC9F997C7D7E}	RSS Platform Perf Trace
{058DD951-7604-414D-A5D6-A56D35367A46}	File Kernel Trace; Operation Set 2
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E92}	IMAPI2 Disc Recorder Enumerator
{485E7DE9-0A80-11D8-AD15-505054503030}	UMDF - WDF Core
{FA8DE7C4-ACDE-4443-9994-C4E2359A9EDB}	Classpnp Driver Tracing Provider
{28C9F48F-D244-45A8-842F-DC9FBC9B6E92}	Windows Defender Firewall API
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E99}	IMAPI2 Track-at-Once CD Writer
{8E6B6962-AB54-4335-8229-3255B919DD0E}	WMI_Tracing_Client_Operations
{04C8A86F-3369-12F8-4769-24E484A9E725}	ADODB.1
{A7EB57F6-145E-4F18-BD75-DBBF6F7E23A7}	WMP Network Sharing Service
{02FE721A-0725-469E-A26D-37B3C09FAAC1}	Portable Device Connectivity API Trace
{51734B23-5B7E-4892-BA8E-45BC110B735C}	Microsoft-Windows-Remote-FileSystem-Monitor
{5A966D1C-6B48-11DA-8BDE-F66BAD1E3F3A}	TS Rdp Sound End Point Trace
{72FB9358-A9B3-41E0-AE41-E8DECA41E3A8}	USB Storage Driver Tracing Provider
{8B20D3E4-581F-4A27-8109-DF01643A7A93}	FD WNet Trace
{7DA1385C-F8F5-414D-B9D0-02FCA090F1EC}	File Kernel Trace; Optional Data
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E9B}	IMAPI2 Zero Stream
{6165F3E2-AE38-45D4-9B23-6B4818758BD9}	Security: TSPkg
{6D2FD9C5-8BD8-4A5D-8AA8-01E5C3B2AE23}	Refsv1WppTrace
{87B93A44-1F73-EC83-7261-2DFC972D9B1E}	MSDATL3.1
{777BA8FF-2498-4875-933A-3067DE883070}	XWizard Framework
{0888E5EF-9B98-4695-979D-E92CE4247224}	RmClient_RestartManager
{0381564E-D5CB-4E48-AB35-BE24389B0F59}	WPD BusEnumService Trace
{485E7DEB-0A80-11D8-AD15-505054503030}	UMDF - Test Trace
{485E7DE8-0A80-11D8-AD15-505054503030}	UMDF - Platform Library Trace
{28C9F48F-D244-45A8-842F-DC9FBC9B6E94}	Windows Defender Firewall NetShell Plugin
{9138500E-3648-4EDB-AA4C-859E9F7B7C38}	VSS tracing provider
{E159FC63-02FE-42F3-A234-028B9B8561CB}	Microsoft-Windows-LLTD-Responder
{37D2C3CD-C5D4-4587-8531-4696C44244C8}	Security: SChannel
{FB6A424F-B5D6-4329-B9D5-A975B3A93EAD}	Security: WDigest
{EBCCA1C2-AB46-4A1D-8C2A-906C2FF25F39}	Service Control Manager Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E91}	IMAPI2 Disc Master
{4A8AAA94-CFC4-46A7-8E4E-17BC45608F0A}	BITS Service Trace
{8E598056-8993-11D2-819E-0000F875A064}	Active Directory Domain Services: SAM
{E4FF10D8-8A88-4FC6-82C8-8C23E9462FE5}	Downlevel IPsec NetShell Plugin
{CA1CF55C-9E49-4AD3-8038-39CB6F66AF11}	RSS Platform Backgroundsync Perf Trace
{5BBB6C18-AA45-49B1-A15F-085F7ED0AA90}	Security: NTLM Authentication
{F8036571-42D9-480A-BABB-DE7833CB059C}	IMAPI2FS Tracing
{F9BE9C98-10DB-4318-BB61-CB0DDEA08BF7}	UmBus Driver Trace
{58E8F67D-29E9-456C-B23D-C6489E341BB0}	WPD Types Trace
{D2A60D61-0F87-4673-A86C-9C461457FE27}	Windows NetworkItemFactory Trace
{D5C6A3E9-FA9C-434E-9653-165B4FC869E4}	IPMI Driver Trace
{544D4C9D-942C-46D5-BF50-DF5CD9524A50}	KMDFv1 Trace Provider
{B809F4FF-3023-473C-971B-AB594429EA57}	WPD WiaCompat Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E93}	IMAPI2 Disc Recorder
{DAA6CAF5-6678-43F8-A6FE-B40EE096E06E}	TS Client ActiveX Control Trace
{BFA655DC-6C51-11DA-8BDE-F66BAD1E3F3A}	TS RDP Shell Trace
{485E7DED-0A80-11D8-AD15-505054503030}	UMDF - Lpc Driver Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E90}	IMAPI2 dll
{1FF10429-99AE-45BB-8A67-C9E945B9FB6C}	IMAPI1 Shim
{CEB7253C-BB96-9DFE-51D1-53D966D0CF8B}	MSDART.1
{014DE49F-CE63-4779-BA2B-D616F6963A87}	Microsoft-Windows-NetworkConnectivityStatus
{F33959B4-DBEC-11D2-895B-00C04F79AB69}	Active Directory: NetLogon
